id,name,name_cn,level,region,country,phone,fax,supervisor,principal,gender,finance_type,district,address_en,address_cn,session_type,school_type
1314,AD&F Primary,循道愛芬小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1315,AG Primary,愛秩序小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1320,AP Prime Primary,愛培小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1310,Aberdeen Government Primary,香港仔官立小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1532,Aberdeen Primary School,香港仔公立小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1313,Aberdeen St. David's Primary,聖德尼小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
862,Aberdeen Technical School Primary,香港仔工業學校附屬小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1533,Alhambra Primary School,阿爾漢布拉小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1534,Alice Primary School,愛麗絲小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
863,Alkaid Primary School,北斗小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1316,Allied Arts Primary,愛群道小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
860,Allied Primary School,中華英文小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1535,Alma Primary School,阿爾瑪小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1536,Alpha Primary School,阿爾法小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1537,Amber Primary School,琥珀小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1538,Angels Primary School,天使小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1317,Anglo-Chinese Primary,英華小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1318,Annual Primary,安培力小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1319,AoI Primary,合一國小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
861,Aplington Primary School,安菲爾頓小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1321,Aptitude Primary,才能小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1539,Arcadia Primary School,阿卡迪亞小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1322,Arch Primary,拱型小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1540,Arena Primary School,競技場小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1323,Arts Primary,藝術小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1541,Aspen Primary School,白楊小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1324,Aspiration Primary,抱負小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
819,Assembly of God Primary,神召會小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1325,Aston Primary,雅士圖小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1326,Async Primary,一步小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1542,Athena Primary School,雅典娜小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1543,Auburn Primary School,奧本小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
2021,Aurelia Primary School,金色小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1544,Aurora Primary School,極光小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1545,Avalon Primary School,阿瓦隆小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1546,Avenue Primary School,大道小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1547,Banyan Primary School,榕樹小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1327,Baptist (Happy) Primary,浸信會(香港)小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
864,Baptist (Sha Tin) Primary,浸信會(沙田)小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1328,Baptist (Shatin) Primary,浸信會沙田小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
816,Baptist Primary School,浸信會小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
865,Baptist Wing Shek Primary,浸信會永設小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1329,Beacon Hill Primary,嘉道理小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1548,Beacon Primary School,燈塔小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1549,Beaumont Primary School,博蒙特小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
866,Beauvoir Primary School,法國國際學校小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1550,Beechwood Primary School,樺木小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1330,Beijing Normal Primary,北京師範大學小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1551,Belfast Primary School,貝爾法斯特小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1552,Bellagio Primary School,貝拉吉奧小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1553,Belvedere Primary School,貝爾維迪爾小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1554,Berkeley Primary School,伯克利小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
