ID,英文名,中文名,类型,官网,校训,地址,校长
37,Chinese University of Hong Kong,香港中文大学,大学,https://www.cuhk.edu.hk,缺失,"Sha Tin, New Territories",Rocky Tuan
36,Hong Kong University,香港大学,大学,https://www.hku.hk,缺失,Pokfulam Road,Xiang Zhang
106,Holy Trinity College,三元培基中學,中学,https://www.school106.edu.hk,勤、慎、朴、恭,"206 Sheung Wan Road, Hong Kong",缺失
261,CNEC Secondary School,中華傳道會中學,中学,https://www.school261.edu.hk,勤、慎、朴、恭,"361 Sheung Wan Road, Hong Kong",缺失
832,CNEC College,中華基督教會中學,中学,缺失,缺失,缺失,缺失
1047,CCC (Kowloon) Secondary,中華基督教會九龍真光中學,中学,缺失,缺失,缺失,缺失
1043,CCC (Cheung) Secondary,中華基督教會元朗真光中學,中学,缺失,缺失,缺失,缺失
1048,CCC (Kwong) Secondary,中華基督教會光華中學,中学,缺失,缺失,缺失,缺失
1045,CCC (Heep) Secondary,中華基督教會協和書院,中学,缺失,缺失,缺失,缺失
1046,CCC (Hong) Secondary,中華基督教會合一堂香港真光中學,中学,缺失,缺失,缺失,缺失
1052,CCC (Tai) Secondary,中華基督教會基泰中學,中学,缺失,缺失,缺失,缺失
1059,CNEC (Kowloon) Secondary,中華基督教會基真中學,中学,缺失,缺失,缺失,缺失
1049,CCC (Lui) Secondary,中華基督教會基順中學,中学,缺失,缺失,缺失,缺失
1050,CCC (Ming) Secondary,中華基督教會明華中學,中学,缺失,缺失,缺失,缺失
282,GCC Secondary,中華基督教會書院,中学,https://www.school282.edu.hk,勤、慎、朴、恭,"382 Sai Ying Pun Road, Hong Kong",缺失
1053,CCC (Tung) Secondary,中華基督教會東區中學,中学,缺失,缺失,缺失,缺失
1051,CCC (Sha) Secondary,中華基督教會沙田崇真中學,中学,缺失,缺失,缺失,缺失
1061,CNEC (Sha) Secondary,中華基督教會沙田靈光中學,中学,缺失,缺失,缺失,缺失
1060,CNEC (Ming) Secondary,中華基督教會銘賢中學,中学,缺失,缺失,缺失,缺失
1044,CCC (Ching) Secondary,中華基督教會青道中學,中学,缺失,缺失,缺失,缺失
259,Chung Mary Secondary,中華民國中學,中学,https://www.school259.edu.hk,勤、慎、朴、恭,"359 Repulse Bay Road, Hong Kong",缺失
260,CLP Secondary School,中華電力中學,中学,https://www.school260.edu.hk,勤、慎、朴、恭,"360 Central Road, Hong Kong",缺失
321,Kowloon Secondary,九龍中學,中学,https://www.school321.edu.hk,勤、慎、朴、恭,"421 Sheung Wan Road, Hong Kong",缺失
322,KTS Secondary,九龍塘書院,中学,https://www.school322.edu.hk,勤、慎、朴、恭,"422 Sai Ying Pun Road, Hong Kong",缺失
108,Kowloon Girls Secondary School,九龍真光中學,中学,https://www.school108.edu.hk,勤、慎、朴、恭,"208 Aberdeen Road, Hong Kong",缺失
107,Kowloon Boys Secondary School,九龍華仁書院,中学,https://www.school107.edu.hk,勤、慎、朴、恭,"207 Sai Ying Pun Road, Hong Kong",缺失
315,Ida Secondary School,亞利桑那書院,中学,https://www.school315.edu.hk,勤、慎、朴、恭,"415 Central Road, Hong Kong",缺失
272,Elim College,以琳書院,中学,https://www.school272.edu.hk,勤、慎、朴、恭,"372 Sai Ying Pun Road, Hong Kong",缺失
1071,Emmanuel College,以馬內利中學,中学,缺失,缺失,缺失,缺失
273,Emmanuel College,以馬內利書院,中学,https://www.school273.edu.hk,勤、慎、朴、恭,"373 Aberdeen Road, Hong Kong",缺失
1030,Bishop Hall Secondary School,何明華會督銀禧中學,中学,缺失,缺失,缺失,缺失
830,Buddhist College,佛教中學,中学,缺失,缺失,缺失,缺失
1031,Buddhist (Chung) Secondary,佛教中華文化中學,中学,缺失,缺失,缺失,缺失
1032,Buddhist (Ho) Secondary,佛教何黃筱湘紀念中學,中学,缺失,缺失,缺失,缺失
1033,Buddhist (Lau) Secondary,佛教劉觀偉中學,中学,缺失,缺失,缺失,缺失
1035,Buddhist (Sin) Secondary,佛教善德中學,中学,缺失,缺失,缺失,缺失
1036,Buddhist (Tai) Secondary,佛教大雄中學,中学,缺失,缺失,缺失,缺失
1038,Buddhist (Yun) Secondary,佛教慈航中學,中学,缺失,缺失,缺失,缺失
1037,Buddhist (Tung) Secondary,佛教東區中學,中学,缺失,缺失,缺失,缺失
